identifier	page
NCBITaxon:1005397	taxa/bacteria/escherichia_coli_88_0221.html
NCBITaxon:1005398	taxa/bacteria/escherichia_coli_88_1042.html
NCBITaxon:1005399	taxa/bacteria/escherichia_coli_89_0511.html
NCBITaxon:1005400	taxa/bacteria/escherichia_coli_90_0091.html
NCBITaxon:1005401	taxa/bacteria/escherichia_coli_90_0039.html
NCBITaxon:1005402	taxa/bacteria/escherichia_coli_90_2281.html
NCBITaxon:1005403	taxa/bacteria/escherichia_coli_93_0055.html
NCBITaxon:1005404	taxa/bacteria/escherichia_coli_93_0056.html
NCBITaxon:1005405	taxa/bacteria/escherichia_coli_94_0618.html
NCBITaxon:1005406	taxa/bacteria/escherichia_coli_95_0183.html
NCBITaxon:1005407	taxa/bacteria/escherichia_coli_95_1288.html
NCBITaxon:1005408	taxa/bacteria/escherichia_coli_95_0943.html
NCBITaxon:1005410	taxa/bacteria/escherichia_coli_96_0428.html
NCBITaxon:1005411	taxa/bacteria/escherichia_coli_96_0427.html
NCBITaxon:1005412	taxa/bacteria/escherichia_coli_96_0939.html
NCBITaxon:1005413	taxa/bacteria/escherichia_coli_96_0932.html
NCBITaxon:1005414	taxa/bacteria/escherichia_coli_96_0109.html
NCBITaxon:1005415	taxa/bacteria/escherichia_coli_96_0107.html
NCBITaxon:1005416	taxa/bacteria/escherichia_coli_97_0003.html
NCBITaxon:1005418	taxa/bacteria/escherichia_coli_97_1742.html
NCBITaxon:1005419	taxa/bacteria/escherichia_coli_97_0010.html
NCBITaxon:1005420	taxa/bacteria/escherichia_coli_97_0007.html
NCBITaxon:1005421	taxa/bacteria/escherichia_coli_99_0672.html
NCBITaxon:1005422	taxa/bacteria/escherichia_coli_99_0678.html
NCBITaxon:1005423	taxa/bacteria/escherichia_coli_99_0670.html
NCBITaxon:1005424	taxa/bacteria/escherichia_coli_99_0713.html
NCBITaxon:1005430	taxa/bacteria/escherichia_coli_99_0816.html
NCBITaxon:1005431	taxa/bacteria/escherichia_coli_99_0848.html
NCBITaxon:1005432	taxa/bacteria/escherichia_coli_99_0839.html
NCBITaxon:1005433	taxa/bacteria/escherichia_coli_99_0815.html
NCBITaxon:1005434	taxa/bacteria/escherichia_coli_99_0814.html
NCBITaxon:1005435	taxa/bacteria/escherichia_coli_99_1762.html
NCBITaxon:1005436	taxa/bacteria/escherichia_coli_99_1805.html
NCBITaxon:1005437	taxa/bacteria/escherichia_coli_99_1793.html
NCBITaxon:1005438	taxa/bacteria/escherichia_coli_99_1775.html
NCBITaxon:1005439	taxa/bacteria/escherichia_coli_99_1781.html
NCBITaxon:1005440	taxa/bacteria/escherichia_coli_99_1753.html
NCBITaxon:1005441	taxa/bacteria/escherichia_coli_0_1304.html
NCBITaxon:1005442	taxa/bacteria/escherichia_coli_0_1288.html
NCBITaxon:1005443	taxa/bacteria/escherichia_coli_0_1197.html
NCBITaxon:1005444	taxa/bacteria/escherichia_coli_1_0080.html
NCBITaxon:1005445	taxa/bacteria/escherichia_coli_2_3941.html
NCBITaxon:1005446	taxa/bacteria/escherichia_coli_2_0731.html
NCBITaxon:1005447	taxa/bacteria/escherichia_coli_2_4174.html
NCBITaxon:1005448	taxa/bacteria/escherichia_coli_2_0966.html
NCBITaxon:1005449	taxa/bacteria/escherichia_coli_3_4871.html
NCBITaxon:1005450	taxa/bacteria/escherichia_coli_3_4870.html
NCBITaxon:1005451	taxa/bacteria/escherichia_coli_3_0190.html
NCBITaxon:1005452	taxa/bacteria/escherichia_coli_5_2239.html
NCBITaxon:1005453	taxa/bacteria/escherichia_coli_5_2219.html
NCBITaxon:1005454	taxa/bacteria/escherichia_coli_5_2246.html
NCBITaxon:1005455	taxa/bacteria/escherichia_coli_6_0172.html
NCBITaxon:1005456	taxa/bacteria/escherichia_coli_7_3192.html
NCBITaxon:1005457	taxa/bacteria/escherichia_coli_7_1575.html
NCBITaxon:1005458	taxa/bacteria/escherichia_coli_7_1485.html
NCBITaxon:1005459	taxa/bacteria/escherichia_coli_7_1495.html
NCBITaxon:1005460	taxa/bacteria/escherichia_coli_8_2524.html
NCBITaxon:1005461	taxa/bacteria/escherichia_coli_8_0586.html
NCBITaxon:1005462	taxa/bacteria/escherichia_coli_8_0566.html
NCBITaxon:1005463	taxa/bacteria/escherichia_coli_8_0416.html
NCBITaxon:1005464	taxa/bacteria/escherichia_coli_8_0569.html
NCBITaxon:1005465	taxa/bacteria/escherichia_coli_9_1796.html
NCBITaxon:1005466	taxa/bacteria/escherichia_coli_10_0833.html
NCBITaxon:1005467	taxa/bacteria/escherichia_coli_10_0869.html
NCBITaxon:1005468	taxa/bacteria/escherichia_coli_10_0562.html
NCBITaxon:1005469	taxa/bacteria/escherichia_coli_10_0821.html
NCBITaxon:1005470	taxa/bacteria/escherichia_coli_fda504.html
NCBITaxon:1005471	taxa/bacteria/escherichia_coli_fda505.html
NCBITaxon:1005472	taxa/bacteria/escherichia_coli_fda507.html
NCBITaxon:1005473	taxa/bacteria/escherichia_coli_fda517.html
NCBITaxon:1005474	taxa/bacteria/escherichia_coli_fda506.html
NCBITaxon:1005475	taxa/bacteria/escherichia_coli_frik1996.html
NCBITaxon:1005476	taxa/bacteria/escherichia_coli_frik1985.html
NCBITaxon:1005477	taxa/bacteria/escherichia_coli_frik1999.html
NCBITaxon:1005478	taxa/bacteria/escherichia_coli_frik1990.html
NCBITaxon:1005479	taxa/bacteria/escherichia_coli_frik2001.html
NCBITaxon:1005480	taxa/bacteria/escherichia_coli_frik1997.html
NCBITaxon:1005481	taxa/bacteria/escherichia_coli_93_001.html
NCBITaxon:1005482	taxa/bacteria/escherichia_coli_frik523.html
NCBITaxon:1005483	taxa/bacteria/escherichia_coli_frik920.html
NCBITaxon:1005484	taxa/bacteria/escherichia_coli_ne037.html
NCBITaxon:1005485	taxa/bacteria/escherichia_coli_ne1487.html
NCBITaxon:1005486	taxa/bacteria/escherichia_coli_ne098.html
NCBITaxon:1005487	taxa/bacteria/escherichia_coli_pa2.html
NCBITaxon:1005488	taxa/bacteria/escherichia_coli_pa3.html
NCBITaxon:1005489	taxa/bacteria/escherichia_coli_pa4.html
NCBITaxon:1005490	taxa/bacteria/escherichia_coli_pa5.html
NCBITaxon:1005491	taxa/bacteria/escherichia_coli_pa7.html
NCBITaxon:1005492	taxa/bacteria/escherichia_coli_pa8.html
NCBITaxon:1005493	taxa/bacteria/escherichia_coli_pa9.html
NCBITaxon:1005494	taxa/bacteria/escherichia_coli_pa10.html
NCBITaxon:1005495	taxa/bacteria/escherichia_coli_pa14.html
NCBITaxon:1005496	taxa/bacteria/escherichia_coli_pa15.html
NCBITaxon:1005497	taxa/bacteria/escherichia_coli_pa22.html
NCBITaxon:1005498	taxa/bacteria/escherichia_coli_pa23.html
NCBITaxon:1005499	taxa/bacteria/escherichia_coli_pa24.html
NCBITaxon:1005500	taxa/bacteria/escherichia_coli_pa25.html
NCBITaxon:1005501	taxa/bacteria/escherichia_coli_pa28.html
NCBITaxon:1005502	taxa/bacteria/escherichia_coli_pa31.html
NCBITaxon:1005503	taxa/bacteria/escherichia_coli_pa32.html
NCBITaxon:1005504	taxa/bacteria/escherichia_coli_pa33.html
NCBITaxon:1005505	taxa/bacteria/escherichia_coli_pa34.html
NCBITaxon:1005506	taxa/bacteria/escherichia_coli_pa38.html
NCBITaxon:1005507	taxa/bacteria/escherichia_coli_pa39.html
NCBITaxon:1005508	taxa/bacteria/escherichia_coli_pa40.html
NCBITaxon:1005509	taxa/bacteria/escherichia_coli_pa41.html
NCBITaxon:1005510	taxa/bacteria/escherichia_coli_pa42.html
NCBITaxon:1005511	taxa/bacteria/escherichia_coli_pa45.html
NCBITaxon:1005512	taxa/bacteria/escherichia_coli_pa47.html
NCBITaxon:1005513	taxa/bacteria/escherichia_coli_pa48.html
