kind	id	reason
attested_taxon	NCBITaxon:1764958	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1764959	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1768190	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1775560	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:179628	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1804984	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1807846	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1817673	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1819728	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:182080	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:182220	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1827146	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1830138	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1834517	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1855905	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1857183	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1872518	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1882406	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1896200	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1900	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:190486	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1912894	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1912896	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1914757	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1915400	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1917965	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1924940	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1929	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1929477	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1940621	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950230	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950231	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950232	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950233	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950234	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950235	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950236	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950238	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950239	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950240	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950241	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950242	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950243	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950244	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950245	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950246	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950247	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950248	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950249	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950250	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950251	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950252	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950253	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950254	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950255	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950256	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950257	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950258	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950259	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950261	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950262	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950263	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950264	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950266	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950268	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950269	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1950270	not in pinned NCBI taxonomy; retained in source inventory
