old_taxon_id	current_taxon_id
NCBITaxon:1007553	NCBITaxon:945872
NCBITaxon:1007554	NCBITaxon:945875
NCBITaxon:1007555	NCBITaxon:945874
NCBITaxon:1007556	NCBITaxon:945876
NCBITaxon:1007557	NCBITaxon:945871
NCBITaxon:1007558	NCBITaxon:945873
NCBITaxon:1007559	NCBITaxon:943838
NCBITaxon:1007560	NCBITaxon:945877
NCBITaxon:1007561	NCBITaxon:943839
NCBITaxon:1007562	NCBITaxon:943840
NCBITaxon:1007563	NCBITaxon:945848
NCBITaxon:1007564	NCBITaxon:945862
NCBITaxon:1007565	NCBITaxon:945863
NCBITaxon:1007566	NCBITaxon:943844
NCBITaxon:1007568	NCBITaxon:945847
NCBITaxon:1007569	NCBITaxon:943849
NCBITaxon:100757	NCBITaxon:146939
NCBITaxon:1007570	NCBITaxon:945850
NCBITaxon:1007571	NCBITaxon:945851
NCBITaxon:1007572	NCBITaxon:945852
NCBITaxon:1007573	NCBITaxon:945879
NCBITaxon:1007574	NCBITaxon:945853
NCBITaxon:1007575	NCBITaxon:943857
NCBITaxon:1007576	NCBITaxon:943858
NCBITaxon:1007578	NCBITaxon:945856
NCBITaxon:1007580	NCBITaxon:943874
NCBITaxon:1007581	NCBITaxon:945857
NCBITaxon:1007582	NCBITaxon:945858
NCBITaxon:1007583	NCBITaxon:945859
NCBITaxon:1007584	NCBITaxon:945860
NCBITaxon:1007585	NCBITaxon:945861
NCBITaxon:1007586	NCBITaxon:943881
NCBITaxon:1007587	NCBITaxon:946083
NCBITaxon:1007588	NCBITaxon:943887
NCBITaxon:1007589	NCBITaxon:945865
NCBITaxon:1007590	NCBITaxon:946084
NCBITaxon:1007591	NCBITaxon:946085
NCBITaxon:1007592	NCBITaxon:946086
NCBITaxon:1007593	NCBITaxon:946087
NCBITaxon:1007594	NCBITaxon:946088
NCBITaxon:1007595	NCBITaxon:943892
NCBITaxon:1007596	NCBITaxon:945864
NCBITaxon:1007597	NCBITaxon:946089
NCBITaxon:1007600	NCBITaxon:943842
NCBITaxon:1007603	NCBITaxon:943880
NCBITaxon:1007641	NCBITaxon:193346
NCBITaxon:100765	NCBITaxon:281362
NCBITaxon:1007707	NCBITaxon:1007343
NCBITaxon:100772	NCBITaxon:102318
