taxon_id	assertion_count
NCBITaxon:1049925	1
NCBITaxon:1049926	1
NCBITaxon:1049927	1
NCBITaxon:1049928	1
NCBITaxon:1049929	1
NCBITaxon:1049930	1
NCBITaxon:1049931	1
NCBITaxon:1049932	1
NCBITaxon:1049933	1
NCBITaxon:1049934	1
NCBITaxon:1049935	1
NCBITaxon:1049936	1
NCBITaxon:1049937	1
NCBITaxon:1049938	1
NCBITaxon:1049939	1
NCBITaxon:1049940	1
NCBITaxon:1049941	1
NCBITaxon:1049942	1
NCBITaxon:1049943	1
NCBITaxon:1049944	1
NCBITaxon:1049945	1
NCBITaxon:1049946	1
NCBITaxon:1049947	1
NCBITaxon:1049961	1
NCBITaxon:1049962	1
NCBITaxon:1049964	1
NCBITaxon:1049966	1
NCBITaxon:1049968	1
NCBITaxon:1049969	1
NCBITaxon:1049970	1
NCBITaxon:1049971	1
NCBITaxon:1049972	3
NCBITaxon:1049973	1
NCBITaxon:1049974	1
NCBITaxon:1049976	1
NCBITaxon:1049977	1
NCBITaxon:1049978	1
NCBITaxon:1049979	1
