sample_id	reason
biosample:SAMEA3662937	assembly_unavailable
biosample:SAMEA3662940	assembly_unavailable
biosample:SAMEA3672883	assembly_unavailable
biosample:SAMEA3672886	assembly_unavailable
biosample:SAMEA3672888	assembly_unavailable
biosample:SAMEA3672889	assembly_unavailable
biosample:SAMEA3672890	assembly_unavailable
biosample:SAMEA3679170	assembly_unavailable
biosample:SAMEA3679174	assembly_unavailable
biosample:SAMEA3679180	assembly_unavailable
biosample:SAMEA3679187	assembly_unavailable
biosample:SAMEA3679189	assembly_unavailable
biosample:SAMEA3679190	assembly_unavailable
biosample:SAMEA3679194	assembly_unavailable
biosample:SAMEA3696435	assembly_unavailable
biosample:SAMEA3696436	assembly_unavailable
biosample:SAMEA3696437	assembly_unavailable
biosample:SAMEA3696441	assembly_unavailable
biosample:SAMEA3711429	assembly_unavailable
biosample:SAMEA3711430	assembly_unavailable
biosample:SAMEA3711431	assembly_unavailable
biosample:SAMEA3711432	assembly_unavailable
biosample:SAMEA3711433	assembly_unavailable
biosample:SAMEA3711434	assembly_unavailable
biosample:SAMEA3711435	assembly_unavailable
biosample:SAMEA3711436	assembly_unavailable
biosample:SAMEA3711437	assembly_unavailable
biosample:SAMEA3711438	assembly_unavailable
biosample:SAMEA3711440	assembly_unavailable
biosample:SAMEA3714879	assembly_unavailable
biosample:SAMEA3714881	assembly_unavailable
biosample:SAMEA3714884	assembly_unavailable
biosample:SAMEA3714889	assembly_unavailable
biosample:SAMEA3724086	assembly_unavailable
biosample:SAMEA3724089	assembly_unavailable
biosample:SAMEA3724094	assembly_unavailable
biosample:SAMEA3724095	assembly_unavailable
biosample:SAMEA3724098	assembly_unavailable
biosample:SAMEA3729937	assembly_unavailable
biosample:SAMEA3729938	assembly_unavailable
biosample:SAMEA3729941	assembly_unavailable
biosample:SAMEA3729946	assembly_unavailable
biosample:SAMEA37369168	assembly_unavailable
biosample:SAMEA37369918	assembly_unavailable
biosample:SAMEA37370668	assembly_unavailable
biosample:SAMEA37371418	assembly_unavailable
biosample:SAMEA37372918	assembly_unavailable
biosample:SAMEA37373668	assembly_unavailable
biosample:SAMEA37377418	assembly_unavailable
biosample:SAMEA3856672	assembly_unavailable
biosample:SAMEA3856673	assembly_unavailable
biosample:SAMEA3856675	assembly_unavailable
biosample:SAMEA3856676	assembly_unavailable
biosample:SAMEA3856677	assembly_unavailable
biosample:SAMEA3856678	assembly_unavailable
